#,Description,License,Licence URL,Image
0,庵に木瓜,Copyrighted free use,https://commons.wikimedia.org/wiki/File:Iori-mokko.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Iori-mokko.jpg
1,丸に三つ盛右三つ巴,Copyrighted free use,https://commons.wikimedia.org/wiki/File:Japanese_Crest_maru_ni_mitumori_migi_mitu_Tomoe.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Japanese_Crest_maru_ni_mitumori_migi_mitu_Tomoe.svg/600px-Japanese_Crest_maru_ni_mitumori_migi_mitu_Tomoe.svg.png
2,丸に違い鷹の羽,Creative Commons Attribution-Share Alike 2.5,https://commons.wikimedia.org/wiki/File:Takanoha.png,https://upload.wikimedia.org/wikipedia/commons/e/e5/Takanoha.png
3,浅野鷹の羽,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Alex_K_Hiroshima_Asano_kamon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Alex_K_Hiroshima_Asano_kamon.svg/488px-Alex_K_Hiroshima_Asano_kamon.svg.png
4,福島沢瀉,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Alex_K_Hiroshima_Fukushima_kamon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Alex_K_Hiroshima_Fukushima_kamon.svg/458px-Alex_K_Hiroshima_Fukushima_kamon.svg.png
5,中陰花菱,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Cyukage-Hanabishi.gif,https://upload.wikimedia.org/wikipedia/commons/b/b9/Cyukage-Hanabishi.gif
6,土佐桐,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Family_crest_Tosa_Kiri.png,https://upload.wikimedia.org/wikipedia/commons/3/37/Family_crest_Tosa_Kiri.png
7,七宝に痩せ花角,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Family_crest_hanawachigai.png,https://upload.wikimedia.org/wikipedia/commons/1/13/Family_crest_hanawachigai.png
8,北条鱗,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Hojo_uroko.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Hojo_uroko.jpg
9,青山銭,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Aoyama_Zeni.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Japanese_Crest_Aoyama_Zeni.svg/600px-Japanese_Crest_Aoyama_Zeni.svg.png
10,有馬巴,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Arima_Tomoe.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Japanese_Crest_Arima_Tomoe.svg/600px-Japanese_Crest_Arima_Tomoe.svg.png
11,大一大万大吉,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Daiichi_Daiman_Daikichi_1.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Japanese_Crest_Daiichi_Daiman_Daikichi_1.svg/600px-Japanese_Crest_Daiichi_Daiman_Daikichi_1.svg.png
12,九曜銭,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Hasebe_Zeni.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Japanese_Crest_Hasebe_Zeni.svg/600px-Japanese_Crest_Hasebe_Zeni.svg.png
13,鬼洲浜,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Hita_Suhama.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Japanese_Crest_Hita_Suhama.svg/600px-Japanese_Crest_Hita_Suhama.svg.png
14,一文字,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Ichimonji.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Japanese_Crest_Ichimonji.svg/600px-Japanese_Crest_Ichimonji.svg.png
15,庵に木瓜,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Iori_ni_Mokkou.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Japanese_Crest_Iori_ni_Mokkou.svg/600px-Japanese_Crest_Iori_ni_Mokkou.svg.png
16,弦巻,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Jyanome_2.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Japanese_Crest_Jyanome_2.svg/600px-Japanese_Crest_Jyanome_2.svg.png
17,蛇の目九曜,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Jyanome_Kuyou.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Japanese_Crest_Jyanome_Kuyou.svg/600px-Japanese_Crest_Jyanome_Kuyou.svg.png
18,菊に一文字,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Kiku_ni_Ichimonnji.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Japanese_Crest_Kiku_ni_Ichimonnji.svg/600px-Japanese_Crest_Kiku_ni_Ichimonnji.svg.png
19,桑名団扇,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Kuwana_Uchiwa.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Japanese_Crest_Kuwana_Uchiwa.svg/600px-Japanese_Crest_Kuwana_Uchiwa.svg.png
20,丸に五三の桐,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Maru_ni_Gosan_Kiri.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Japanese_Crest_Maru_ni_Gosan_Kiri.svg/600px-Japanese_Crest_Maru_ni_Gosan_Kiri.svg.png
21,丸に酢漿草は,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Maru_ni_Katabami.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Japanese_Crest_Maru_ni_Katabami.svg/600px-Japanese_Crest_Maru_ni_Katabami.svg.png
22,丸に釘抜,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Maru_ni_Kuginuki.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Japanese_Crest_Maru_ni_Kuginuki.svg/600px-Japanese_Crest_Maru_ni_Kuginuki.svg.png
23,丸に木瓜,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Maru_ni_Mokkou(White_background).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Japanese_Crest_Maru_ni_Mokkou%28White_background%29.svg/600px-Japanese_Crest_Maru_ni_Mokkou%28White_background%29.svg.png
24,丸に洲浜,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Maru_ni_Suhama.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Japanese_Crest_Maru_ni_Suhama.svg/600px-Japanese_Crest_Maru_ni_Suhama.svg.png
25,丸に二つ雁金,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Maru_ni_futatu_Karigane.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Japanese_Crest_Maru_ni_futatu_Karigane.svg/600px-Japanese_Crest_Maru_ni_futatu_Karigane.svg.png
26,丸に三つ引,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Maru_ni_mitu_Hiki.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Japanese_Crest_Maru_ni_mitu_Hiki.svg/600px-Japanese_Crest_Maru_ni_mitu_Hiki.svg.png
27,増山雁金,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Masuyama_Karigane.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Japanese_Crest_Masuyama_Karigane.svg/600px-Japanese_Crest_Masuyama_Karigane.svg.png
28,黒餅に地抜き酢漿草,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Murayama_katabami.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Japanese_Crest_Murayama_katabami.svg/639px-Japanese_Crest_Murayama_katabami.svg.png
29,抱き筋杏葉,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Nabesima_Gyouyou.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Japanese_Crest_Nabesima_Gyouyou.svg/600px-Japanese_Crest_Nabesima_Gyouyou.svg.png
30,中津団扇,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Nakatu_Uchiwa.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Japanese_Crest_Nakatu_Uchiwa.svg/600px-Japanese_Crest_Nakatu_Uchiwa.svg.png
31,小幡団扇,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Obata_Uchiwa.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Japanese_Crest_Obata_Uchiwa.svg/600px-Japanese_Crest_Obata_Uchiwa.svg.png
32,奥平団扇,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Okudaira_Uchiwa.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Japanese_Crest_Okudaira_Uchiwa.svg/600px-Japanese_Crest_Okudaira_Uchiwa.svg.png
33,六つ瓜に七つ引両,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Sagara_Ka.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Japanese_Crest_Sagara_Ka.svg/600px-Japanese_Crest_Sagara_Ka.svg.png
34,柳川守,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Tachibana_Mamori.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Japanese_Crest_Tachibana_Mamori.svg/600px-Japanese_Crest_Tachibana_Mamori.svg.png
35,武田菱,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Takeda_Hisi.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Japanese_Crest_Takeda_Hisi.svg/600px-Japanese_Crest_Takeda_Hisi.svg.png
36,鳥居笹,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Torii_Sasa.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Japanese_Crest_Torii_Sasa.svg/600px-Japanese_Crest_Torii_Sasa.svg.png
37,山内一文字,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_Yamauchi_Ichimonji.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Japanese_Crest_Yamauchi_Ichimonji.svg/600px-Japanese_Crest_Yamauchi_Ichimonji.svg.png
38,二つ雁金,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_futatu_Karigane.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Japanese_Crest_futatu_Karigane.svg/600px-Japanese_Crest_futatu_Karigane.svg.png
39,角九曜,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_kaku_Kuyoh.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Japanese_Crest_kaku_Kuyoh.svg/600px-Japanese_Crest_kaku_Kuyoh.svg.png
40,変わり洲浜,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_kawari_Suhama.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Japanese_Crest_kawari_Suhama.svg/600px-Japanese_Crest_kawari_Suhama.svg.png
41,三つ山,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_mitu_Yama.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Japanese_Crest_mitu_Yama.svg/600px-Japanese_Crest_mitu_Yama.svg.png
42,三つ盛り亀甲に唐花菱,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_mitumori_Kikkou_ni_Hanabishi.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Japanese_Crest_mitumori_Kikkou_ni_Hanabishi.svg/600px-Japanese_Crest_mitumori_Kikkou_ni_Hanabishi.svg.png
43,結び雁金,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_musubi_Karigane.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Japanese_Crest_musubi_Karigane.svg/600px-Japanese_Crest_musubi_Karigane.svg.png
44,六つ星・六曜,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_mutu_Hosi(White_background).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Japanese_Crest_mutu_Hosi%28White_background%29.svg/600px-Japanese_Crest_mutu_Hosi%28White_background%29.svg.png
45,六つ瓜に六つ唐花,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_mutu_Ka_ni_mutu_Karahana.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Japanese_Crest_mutu_Ka_ni_mutu_Karahana.svg/600px-Japanese_Crest_mutu_Ka_ni_mutu_Karahana.svg.png
46,六つ槌車,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_mutu_Suisha.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Japanese_Crest_mutu_Suisha.svg/600px-Japanese_Crest_mutu_Suisha.svg.png
47,四方木瓜,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_Crest_shihou_Mokkou.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Japanese_Crest_shihou_Mokkou.svg/600px-Japanese_Crest_shihou_Mokkou.svg.png
48,安部梶の葉,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Abe_Kajinoha(White_background).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Japanese_crest_Abe_Kajinoha%28White_background%29.svg/600px-Japanese_crest_Abe_Kajinoha%28White_background%29.svg.png
49,変わり丸に右違い鷹の羽,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Abe_Takanoha.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Japanese_crest_Abe_Takanoha.svg/600px-Japanese_crest_Abe_Takanoha.svg.png
50,菊に一文字,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Kiku_ni_Ichimonnji_2.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Japanese_crest_Kiku_ni_Ichimonnji_2.svg/600px-Japanese_crest_Kiku_ni_Ichimonnji_2.svg.png
51,杵築笹,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Kituki_Sasa.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Japanese_crest_Kituki_Sasa.svg/600px-Japanese_crest_Kituki_Sasa.svg.png
52,櫛松,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Kusi_Matu.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Japanese_crest_Kusi_Matu.svg/600px-Japanese_crest_Kusi_Matu.svg.png
53,丸に左三階松,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Maru_ni_Hidari_Sangai_Matu.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Japanese_crest_Maru_ni_Hidari_Sangai_Matu.svg/600px-Japanese_crest_Maru_ni_Hidari_Sangai_Matu.svg.png
54,丸に右三階松,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Maru_ni_Migi_Sangai_Matu.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Japanese_crest_Maru_ni_Migi_Sangai_Matu.svg/600px-Japanese_crest_Maru_ni_Migi_Sangai_Matu.svg.png
55,丸に竜胆,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Maru_ni_Rindo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Japanese_crest_Maru_ni_Rindo.svg/600px-Japanese_crest_Maru_ni_Rindo.svg.png
56,丸に梅鉢,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Maru_ni_Umebachi.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Japanese_crest_Maru_ni_Umebachi.svg/600px-Japanese_crest_Maru_ni_Umebachi.svg.png
57,丸に矢筈,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Maru_ni_Yahazu.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Japanese_crest_Maru_ni_Yahazu.svg/600px-Japanese_crest_Maru_ni_Yahazu.svg.png
58,丸に違い鷹の羽,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Maru_ni_chigai_Takanoha(White_background).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Japanese_crest_Maru_ni_chigai_Takanoha%28White_background%29.svg/600px-Japanese_crest_Maru_ni_chigai_Takanoha%28White_background%29.svg.png
59,丸に三つ柏,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Maru_ni_mitu_Kasiwa(White_background).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Japanese_crest_Maru_ni_mitu_Kasiwa%28White_background%29.svg/600px-Japanese_crest_Maru_ni_mitu_Kasiwa%28White_background%29.svg.png
